"p","q","n"
"a69903524728936312977482107875308478647020492578394935900752655292608650632331","a88376066802216013035269997609085630226202033697247966478019494316430020315063","a6177798571154834610654307157179479224298470529143085209609493656218815374848428720812368834618643473606364128218321306650337123027739666730670270794101853"
"a86479572642813761333022174038428082088674733175575957203879338975256751578999","a59691232049636737096956725743636100756563220945896697315123974287521927697599","a5162072238175613172050573670096327910161257550408612589550674926741008112987481846863405260916569351265700057256513115358215481328989345580219855831123401"
"a93188341725507396311080499617404040665747076315999036870380095341536407710433","a113797381440334109419547395011444972826857533096053134042351926144908830205909","a10604589269129768058315770080554571687258742271537947160965562625162725869081455032408911165584155010768058570701235918420235766853674139360244998637548597"
"a90668288217548321608166471466007297101207040293072741343186735682467171064627","a81594673801412549266046556156743598434990364892097783927604615814129815539039","a7398049401243312161331230152410950623087944832311645613628870969206836966329956910055701740490785405206697538010034840914324939994399991564553977510473453"
"a103285710607797833877675403244616146691206594426398933600127835446799006391079","a59550606294129061441363115734760219357773105068168450717973284161885946013487","a6150726688214318454278719335522339625193901956946514563269918669703032517950358629705711182015049906199208899577470771341561943792291871586848074930482473"
"a99460656746016184620528077137516183393635450881506936049950511637589410542293","a78838950041467345492274080615552613056665666097657745230495457766213824235263","a7841373748290702094664115907348091469132604085661520714167453275007534484463954942554077535270102825220512081782268522959553899104834475811430750843478059"
"a59016420057400635809084483874949861133410657519601840334603953737131706906117","a108619680978517788977876082510498382559324120663659405965637739337947568720397","a6410344719129055561336546562686089231834223713800715576182542543387082559189057729029425766043419963742898185790125715724780262594361254442514733501968449"
"a60084621409942574877938174367105913893402712673090932359566727782030076463081","a91331534816378989174463404386735336646174406661779277210834797467895824719863","a5487620692231120707091197651481934796642081495234501077288824167927061928318594382984370851633339941401406397357287135054029011136599010388807006686877903"
"a60067125928492859800455021555794183425719329767295430259736704900373487460099","a102328415110750337192983323560166236700030679781035675059448387263017050518401","a6146573796520532132991754357976987593635207762374212729344576953272508707937463730681241462612746214377470838653997874838057800587158537338747960752781699"
"a80986438710921096050909397481139149795129293919190477138903360391085385571437","a69809647499086031087369521789543795229816446545839149763269160244288936822979","a5653634738615737028301191670970532147271745314690005638328275257127422929179009873857614153575261159847783926098678528349550322560180340611156253227650823"
"a108795956547415127615714458810754015990366032229619336460408464552479513186659","a76349789360330115088834136074865616258244361098074604409029281258390497424323","a8306548365650773032797762709288569030607973408490168165016024412830399569267912169456548147072827827323120407563696238591971237617114461099637253425706857"
"a74072249009807378379228855634085836841956562152242446830591175988947981765383","a105591888804902232158843483737672914037695516600576023552843777867973420242617","a7821428680972610168412797678994605922129637728243201325934386220229258296041720277404309814821939800364553165557291326166943075157066851498712611831927311"
"a114515870567113722927834007445988110961052348078294451937238107944425727431583","a68509848781570491234396593634560494386185059368362754169971406752165555349279","a7845464975642860169773673678928378397769752814601487435290714984384264196787202901537171526975718027719652809944457166874205721056406850274425375140878657"
"a86107904020680434692738189184115340573737950821830644818243158537694092365521","a112328822705129663776999861559070843275765155061827651120678322636138330305271","a9672399484249334278127782194259262600629893471437057295494375671055047113081187714781728070316629621536789977722047191432512817558954153990691790444961191"
"a83965293813530585082027729089909044811047170723490175819916796520483924695573","a101080840588411056275571341007678749274363684740476257856335895697889752472209","a8487282478924582129091059030412600182684947169729328206808235945851950357505287600460170956827243764180667271505348749647949215619187186756310064467830757"
"a60817520595826225223470885716014987695283923410189245514583239754130387060581","a105082354031175407642269357641158571769263805225744839704755141582044471131957","a6390848230548913317783491680528442422932278553389431864562849060493206936158534651195701182081131308149028703199294168725574195250189966857896583004087017"
"a62749482543331186453066979372740181051160459602149780698640759788519424788031","a74983352126920032393637174097634346262728762828583220038063248640029236982969","a4705166545328623963471517349549869208329438818023030137449725738479683278777267560069883833170504540769853305184351486559545367811989411492093338782044039"
"a102290753913462724880946976282066869253603334505875783307360862127621952736921","a69032616915776371376905709334157713796522278626315770535929540519077902977889","a7061398428934024961298969727365496291091104645179106096437349911942246217674362344223308740034941463155790937923736125833999301138878127282214359696939769"
"a60197269660788503835399726275099852451913432632115117164339901604888951502077","a98483868834290833518396855017978721236827230175844266301064036548729694522557","a5928460009455530068473943944194345216594851464301703534377190078789105329049809186660919226589628513058771108115871328415633811192353227433508404508850889"
"a115727671437510973560810651515903093132819074643936464028410664100016680363829","a75257251608266683943675441629765017602072239504834584596197568115999068920511","a8709346487411581098338294081118354317448500551445950860574272792539637196985273309635745418509600425592031680547917607436196450603527495900519369760596619"
"a63115374923659658391604009052452483573699741504334493828805806871710909725951","a61006913303299377963470368320977412125426651177197429201569606264273896421739","a3850474206072940375383496185335451763961155353934045572414544414966505583191362611181046992917015503722065388552818550056465101617857528555850432008848789"
"a100980873264071610944716278757068863476343803977584160791303134150608597690761","a100406936430411078935124972192757143767184394008451753303705080887703052349899","a10139180122513035952943203978296403362811681544362105279437344297008190590680106650644082161950755090613106857922087301905246083770239929572489625971583139"
"a113971185956366352802525279638288301218145172865503862846098551280929780454111","a63957970095902852624528264553526246842674106042698506353488332399240937214259","a7289365703191862351769435524384322014479070923347215136210063452708084175906288385143625716711305061551364923283802238762737317299085211456294972324368749"
